"category","original_path","new_path","compatibility_link"
"real_data_analysis","e:\Jupter_Notebook\FedTrafficFlow\analysis_scripts\visualize_node_flow_daily_curve_fit.py","e:\Jupter_Notebook\FedTrafficFlow\analysis_scripts\real_data_analysis\visualize_node_flow_daily_curve_fit.py","e:\Jupter_Notebook\FedTrafficFlow\analysis_scripts\visualize_node_flow_daily_curve_fit.py"
"real_data_analysis","e:\Jupter_Notebook\FedTrafficFlow\analysis_scripts\visualize_fitted_function_clusters.py","e:\Jupter_Notebook\FedTrafficFlow\analysis_scripts\real_data_analysis\visualize_fitted_function_clusters.py","e:\Jupter_Notebook\FedTrafficFlow\analysis_scripts\visualize_fitted_function_clusters.py"
"missingness_pipeline_core","e:\Jupter_Notebook\FedTrafficFlow\analysis_scripts\global_missingness_setting_pipeline.py","e:\Jupter_Notebook\FedTrafficFlow\analysis_scripts\missingness_pipeline_core\global_missingness_setting_pipeline.py","e:\Jupter_Notebook\FedTrafficFlow\analysis_scripts\global_missingness_setting_pipeline.py"
"missingness_pipeline_core","e:\Jupter_Notebook\FedTrafficFlow\analysis_scripts\global_missingness_imputation_pipeline.py","e:\Jupter_Notebook\FedTrafficFlow\analysis_scripts\missingness_pipeline_core\global_missingness_imputation_pipeline.py","e:\Jupter_Notebook\FedTrafficFlow\analysis_scripts\global_missingness_imputation_pipeline.py"
"missingness_pipeline_core","e:\Jupter_Notebook\FedTrafficFlow\analysis_scripts\structured_missingness_setting_pipeline.py","e:\Jupter_Notebook\FedTrafficFlow\analysis_scripts\missingness_pipeline_core\structured_missingness_setting_pipeline.py","e:\Jupter_Notebook\FedTrafficFlow\analysis_scripts\structured_missingness_setting_pipeline.py"
"missingness_pipeline_core","e:\Jupter_Notebook\FedTrafficFlow\analysis_scripts\structured_missingness_imputation_pipeline.py","e:\Jupter_Notebook\FedTrafficFlow\analysis_scripts\missingness_pipeline_core\structured_missingness_imputation_pipeline.py","e:\Jupter_Notebook\FedTrafficFlow\analysis_scripts\structured_missingness_imputation_pipeline.py"
"missingness_pipeline_core","e:\Jupter_Notebook\FedTrafficFlow\analysis_scripts\spatial_neighbor_holdout_setting_pipeline.py","e:\Jupter_Notebook\FedTrafficFlow\analysis_scripts\missingness_pipeline_core\spatial_neighbor_holdout_setting_pipeline.py","e:\Jupter_Notebook\FedTrafficFlow\analysis_scripts\spatial_neighbor_holdout_setting_pipeline.py"
"missingness_pipeline_core","e:\Jupter_Notebook\FedTrafficFlow\analysis_scripts\spatial_neighbor_holdout_setting_pipeline_fast.py","e:\Jupter_Notebook\FedTrafficFlow\analysis_scripts\missingness_pipeline_core\spatial_neighbor_holdout_setting_pipeline_fast.py","e:\Jupter_Notebook\FedTrafficFlow\analysis_scripts\spatial_neighbor_holdout_setting_pipeline_fast.py"
"missingness_pipeline_core","e:\Jupter_Notebook\FedTrafficFlow\analysis_scripts\spatial_neighbor_holdout_imputation_pipeline.py","e:\Jupter_Notebook\FedTrafficFlow\analysis_scripts\missingness_pipeline_core\spatial_neighbor_holdout_imputation_pipeline.py","e:\Jupter_Notebook\FedTrafficFlow\analysis_scripts\spatial_neighbor_holdout_imputation_pipeline.py"
"missingness_result_analysis","e:\Jupter_Notebook\FedTrafficFlow\analysis_scripts\analyze_structured_missingness_distribution.py","e:\Jupter_Notebook\FedTrafficFlow\analysis_scripts\missingness_result_analysis\analyze_structured_missingness_distribution.py","e:\Jupter_Notebook\FedTrafficFlow\analysis_scripts\analyze_structured_missingness_distribution.py"
"missingness_result_analysis","e:\Jupter_Notebook\FedTrafficFlow\analysis_scripts\visualize_global_missingness_imputation.py","e:\Jupter_Notebook\FedTrafficFlow\analysis_scripts\missingness_result_analysis\visualize_global_missingness_imputation.py","e:\Jupter_Notebook\FedTrafficFlow\analysis_scripts\visualize_global_missingness_imputation.py"
"missingness_result_analysis","e:\Jupter_Notebook\FedTrafficFlow\analysis_scripts\visualize_all_missingness_imputation_results.py","e:\Jupter_Notebook\FedTrafficFlow\analysis_scripts\missingness_result_analysis\visualize_all_missingness_imputation_results.py","e:\Jupter_Notebook\FedTrafficFlow\analysis_scripts\visualize_all_missingness_imputation_results.py"
"missingness_result_analysis","e:\Jupter_Notebook\FedTrafficFlow\analysis_scripts\visualize_spatial_neighbor_holdout_results.py","e:\Jupter_Notebook\FedTrafficFlow\analysis_scripts\missingness_result_analysis\visualize_spatial_neighbor_holdout_results.py","e:\Jupter_Notebook\FedTrafficFlow\analysis_scripts\visualize_spatial_neighbor_holdout_results.py"
"missingness_support","e:\Jupter_Notebook\FedTrafficFlow\analysis_scripts\extract_and_cleanup_imputed_datasets.py","e:\Jupter_Notebook\FedTrafficFlow\analysis_scripts\missingness_support\extract_and_cleanup_imputed_datasets.py","e:\Jupter_Notebook\FedTrafficFlow\analysis_scripts\extract_and_cleanup_imputed_datasets.py"
"missingness_support","e:\Jupter_Notebook\FedTrafficFlow\analysis_scripts\merge_correlation_method_into_existing_summaries.py","e:\Jupter_Notebook\FedTrafficFlow\analysis_scripts\missingness_support\merge_correlation_method_into_existing_summaries.py","e:\Jupter_Notebook\FedTrafficFlow\analysis_scripts\merge_correlation_method_into_existing_summaries.py"
"missingness_support","e:\Jupter_Notebook\FedTrafficFlow\analysis_scripts\missingness_experiment_paths.py","e:\Jupter_Notebook\FedTrafficFlow\analysis_scripts\missingness_support\missingness_experiment_paths.py","e:\Jupter_Notebook\FedTrafficFlow\analysis_scripts\missingness_experiment_paths.py"
"missingness_support","e:\Jupter_Notebook\FedTrafficFlow\analysis_scripts\reorganize_missingness_experiment_layout.py","e:\Jupter_Notebook\FedTrafficFlow\analysis_scripts\missingness_support\reorganize_missingness_experiment_layout.py","e:\Jupter_Notebook\FedTrafficFlow\analysis_scripts\reorganize_missingness_experiment_layout.py"
"missingness_support","e:\Jupter_Notebook\FedTrafficFlow\analysis_scripts\repair_structured_scenario_artifacts.py","e:\Jupter_Notebook\FedTrafficFlow\analysis_scripts\missingness_support\repair_structured_scenario_artifacts.py","e:\Jupter_Notebook\FedTrafficFlow\analysis_scripts\repair_structured_scenario_artifacts.py"
"missingness_support","e:\Jupter_Notebook\FedTrafficFlow\analysis_scripts\shorten_project_paths.py","e:\Jupter_Notebook\FedTrafficFlow\analysis_scripts\missingness_support\shorten_project_paths.py","e:\Jupter_Notebook\FedTrafficFlow\analysis_scripts\shorten_project_paths.py"
