missing_rate_target,chunk_index,day_index,file_name,eligible_non_null_count,allocated_missing_count,global_eligible_count,global_missing_count,remaining_eligible_before_chunk,remaining_missing_before_chunk,mask_scope,allocation_method,allocation_shortfall_policy,mechanism
0.05,10,10,node_flow_chunk_010.parquet,4034976,201453,246133536,12306677,205783776,10288999,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.05,11,11,node_flow_chunk_011.parquet,4034976,201023,246133536,12306677,201748800,10087546,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.05,12,12,node_flow_chunk_012.parquet,4034976,202649,246133536,12306677,197713824,9886523,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.05,13,13,node_flow_chunk_013.parquet,4034976,202214,246133536,12306677,193678848,9683874,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.05,14,14,node_flow_chunk_014.parquet,4034976,201442,246133536,12306677,189643872,9481660,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.05,15,15,node_flow_chunk_015.parquet,4034976,201252,246133536,12306677,185608896,9280218,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.05,16,16,node_flow_chunk_016.parquet,4034976,201616,246133536,12306677,181573920,9078966,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.05,17,17,node_flow_chunk_017.parquet,4034976,202314,246133536,12306677,177538944,8877350,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.05,18,18,node_flow_chunk_018.parquet,4034976,202311,246133536,12306677,173503968,8675036,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.05,19,19,node_flow_chunk_019.parquet,4034976,201532,246133536,12306677,169468992,8472725,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.05,20,20,node_flow_chunk_020.parquet,4034976,202008,246133536,12306677,165434016,8271193,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.05,21,21,node_flow_chunk_021.parquet,4034976,201324,246133536,12306677,161399040,8069185,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.05,22,22,node_flow_chunk_022.parquet,4034976,201348,246133536,12306677,157364064,7867861,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.05,23,23,node_flow_chunk_023.parquet,4034976,201906,246133536,12306677,153329088,7666513,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.05,24,24,node_flow_chunk_024.parquet,4034976,202041,246133536,12306677,149294112,7464607,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.05,25,25,node_flow_chunk_025.parquet,4034976,201849,246133536,12306677,145259136,7262566,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.05,26,26,node_flow_chunk_026.parquet,4034976,201703,246133536,12306677,141224160,7060717,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.05,27,27,node_flow_chunk_027.parquet,4034976,202083,246133536,12306677,137189184,6859014,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.05,28,28,node_flow_chunk_028.parquet,4034976,201788,246133536,12306677,133154208,6656931,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.05,29,29,node_flow_chunk_029.parquet,4034976,201464,246133536,12306677,129119232,6455143,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.05,30,30,node_flow_chunk_030.parquet,4034976,200213,246133536,12306677,125084256,6253679,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.05,31,31,node_flow_chunk_031.parquet,4034976,201467,246133536,12306677,121049280,6053466,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.05,32,32,node_flow_chunk_032.parquet,4034976,201563,246133536,12306677,117014304,5851999,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.05,33,33,node_flow_chunk_033.parquet,4034976,202209,246133536,12306677,112979328,5650436,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.05,34,34,node_flow_chunk_034.parquet,4034976,202162,246133536,12306677,108944352,5448227,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.05,35,35,node_flow_chunk_035.parquet,4034976,201668,246133536,12306677,104909376,5246065,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.05,36,36,node_flow_chunk_036.parquet,4034976,201474,246133536,12306677,100874400,5044397,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.05,37,37,node_flow_chunk_037.parquet,4034976,201750,246133536,12306677,96839424,4842923,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.05,38,38,node_flow_chunk_038.parquet,4034976,201795,246133536,12306677,92804448,4641173,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.05,39,39,node_flow_chunk_039.parquet,4034976,202737,246133536,12306677,88769472,4439378,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.05,40,40,node_flow_chunk_040.parquet,4034976,201549,246133536,12306677,84734496,4236641,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.05,41,41,node_flow_chunk_041.parquet,4034976,202071,246133536,12306677,80699520,4035092,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.05,42,42,node_flow_chunk_042.parquet,4034976,200904,246133536,12306677,76664544,3833021,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.05,43,43,node_flow_chunk_043.parquet,4034976,201945,246133536,12306677,72629568,3632117,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.05,44,44,node_flow_chunk_044.parquet,4034976,201978,246133536,12306677,68594592,3430172,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.05,45,45,node_flow_chunk_045.parquet,4034976,201393,246133536,12306677,64559616,3228194,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.05,46,46,node_flow_chunk_046.parquet,4034976,201312,246133536,12306677,60524640,3026801,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.05,47,47,node_flow_chunk_047.parquet,4034976,202008,246133536,12306677,56489664,2825489,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.05,48,48,node_flow_chunk_048.parquet,4034976,202015,246133536,12306677,52454688,2623481,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.05,49,49,node_flow_chunk_049.parquet,4034976,202001,246133536,12306677,48419712,2421466,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.05,50,50,node_flow_chunk_050.parquet,4034976,201953,246133536,12306677,44384736,2219465,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.05,51,51,node_flow_chunk_051.parquet,4034976,201040,246133536,12306677,40349760,2017512,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.05,52,52,node_flow_chunk_052.parquet,4034976,201728,246133536,12306677,36314784,1816472,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.05,53,53,node_flow_chunk_053.parquet,4034976,201085,246133536,12306677,32279808,1614744,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.05,54,54,node_flow_chunk_054.parquet,4034976,202542,246133536,12306677,28244832,1413659,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.05,55,55,node_flow_chunk_055.parquet,4034976,201672,246133536,12306677,24209856,1211117,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.05,56,56,node_flow_chunk_056.parquet,4034976,201346,246133536,12306677,20174880,1009445,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.05,57,57,node_flow_chunk_057.parquet,4034976,202013,246133536,12306677,16139904,808099,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.05,58,58,node_flow_chunk_058.parquet,4034976,201701,246133536,12306677,12104928,606086,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.05,59,59,node_flow_chunk_059.parquet,4034976,202182,246133536,12306677,8069952,404385,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.05,60,60,node_flow_chunk_060.parquet,4034976,202203,246133536,12306677,4034976,202203,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.1,0,0,node_flow_chunk_000.parquet,4034976,403576,246133536,24613354,246133536,24613354,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.1,1,1,node_flow_chunk_001.parquet,4034976,402991,246133536,24613354,242098560,24209778,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.1,2,2,node_flow_chunk_002.parquet,4034976,403569,246133536,24613354,238063584,23806787,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.1,3,3,node_flow_chunk_003.parquet,4034976,403996,246133536,24613354,234028608,23403218,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.1,4,4,node_flow_chunk_004.parquet,4034976,403890,246133536,24613354,229993632,22999222,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.1,5,5,node_flow_chunk_005.parquet,4034976,405115,246133536,24613354,225958656,22595332,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.1,6,6,node_flow_chunk_006.parquet,4034976,404040,246133536,24613354,221923680,22190217,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.1,7,7,node_flow_chunk_007.parquet,4034976,403827,246133536,24613354,217888704,21786177,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.1,8,8,node_flow_chunk_008.parquet,4034976,403202,246133536,24613354,213853728,21382350,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.1,9,9,node_flow_chunk_009.parquet,4034976,403826,246133536,24613354,209818752,20979148,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.1,10,10,node_flow_chunk_010.parquet,4034976,403491,246133536,24613354,205783776,20575322,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.1,11,11,node_flow_chunk_011.parquet,4034976,403722,246133536,24613354,201748800,20171831,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.1,12,12,node_flow_chunk_012.parquet,4034976,403068,246133536,24613354,197713824,19768109,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.1,13,13,node_flow_chunk_013.parquet,4034976,403653,246133536,24613354,193678848,19365041,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.1,14,14,node_flow_chunk_014.parquet,4034976,402323,246133536,24613354,189643872,18961388,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.1,15,15,node_flow_chunk_015.parquet,4034976,403132,246133536,24613354,185608896,18559065,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.1,16,16,node_flow_chunk_016.parquet,4034976,403182,246133536,24613354,181573920,18155933,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.1,17,17,node_flow_chunk_017.parquet,4034976,404111,246133536,24613354,177538944,17752751,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.1,18,18,node_flow_chunk_018.parquet,4034976,402469,246133536,24613354,173503968,17348640,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.1,19,19,node_flow_chunk_019.parquet,4034976,402753,246133536,24613354,169468992,16946171,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.1,20,20,node_flow_chunk_020.parquet,4034976,404875,246133536,24613354,165434016,16543418,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.1,21,21,node_flow_chunk_021.parquet,4034976,403517,246133536,24613354,161399040,16138543,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.1,22,22,node_flow_chunk_022.parquet,4034976,403582,246133536,24613354,157364064,15735026,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.1,23,23,node_flow_chunk_023.parquet,4034976,403800,246133536,24613354,153329088,15331444,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.1,24,24,node_flow_chunk_024.parquet,4034976,403337,246133536,24613354,149294112,14927644,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.1,25,25,node_flow_chunk_025.parquet,4034976,403414,246133536,24613354,145259136,14524307,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.1,26,26,node_flow_chunk_026.parquet,4034976,404155,246133536,24613354,141224160,14120893,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.1,27,27,node_flow_chunk_027.parquet,4034976,405697,246133536,24613354,137189184,13716738,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.1,28,28,node_flow_chunk_028.parquet,4034976,402732,246133536,24613354,133154208,13311041,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.1,29,29,node_flow_chunk_029.parquet,4034976,402798,246133536,24613354,129119232,12908309,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.1,30,30,node_flow_chunk_030.parquet,4034976,403505,246133536,24613354,125084256,12505511,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.1,31,31,node_flow_chunk_031.parquet,4034976,404020,246133536,24613354,121049280,12102006,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.1,32,32,node_flow_chunk_032.parquet,4034976,403743,246133536,24613354,117014304,11697986,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.1,33,33,node_flow_chunk_033.parquet,4034976,403500,246133536,24613354,112979328,11294243,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.1,34,34,node_flow_chunk_034.parquet,4034976,403977,246133536,24613354,108944352,10890743,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.1,35,35,node_flow_chunk_035.parquet,4034976,403190,246133536,24613354,104909376,10486766,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.1,36,36,node_flow_chunk_036.parquet,4034976,403142,246133536,24613354,100874400,10083576,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.1,37,37,node_flow_chunk_037.parquet,4034976,403922,246133536,24613354,96839424,9680434,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.1,38,38,node_flow_chunk_038.parquet,4034976,402765,246133536,24613354,92804448,9276512,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.1,39,39,node_flow_chunk_039.parquet,4034976,404403,246133536,24613354,88769472,8873747,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.1,40,40,node_flow_chunk_040.parquet,4034976,402814,246133536,24613354,84734496,8469344,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.1,41,41,node_flow_chunk_041.parquet,4034976,404757,246133536,24613354,80699520,8066530,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.1,42,42,node_flow_chunk_042.parquet,4034976,402096,246133536,24613354,76664544,7661773,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.1,43,43,node_flow_chunk_043.parquet,4034976,402092,246133536,24613354,72629568,7259677,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.1,44,44,node_flow_chunk_044.parquet,4034976,405101,246133536,24613354,68594592,6857585,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.1,45,45,node_flow_chunk_045.parquet,4034976,403124,246133536,24613354,64559616,6452484,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.1,46,46,node_flow_chunk_046.parquet,4034976,403305,246133536,24613354,60524640,6049360,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.1,47,47,node_flow_chunk_047.parquet,4034976,403690,246133536,24613354,56489664,5646055,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.1,48,48,node_flow_chunk_048.parquet,4034976,402207,246133536,24613354,52454688,5242365,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.1,49,49,node_flow_chunk_049.parquet,4034976,403201,246133536,24613354,48419712,4840158,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.1,50,50,node_flow_chunk_050.parquet,4034976,402610,246133536,24613354,44384736,4436957,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.1,51,51,node_flow_chunk_051.parquet,4034976,403903,246133536,24613354,40349760,4034347,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.1,52,52,node_flow_chunk_052.parquet,4034976,403561,246133536,24613354,36314784,3630444,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.1,53,53,node_flow_chunk_053.parquet,4034976,402906,246133536,24613354,32279808,3226883,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.1,54,54,node_flow_chunk_054.parquet,4034976,403451,246133536,24613354,28244832,2823977,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.1,55,55,node_flow_chunk_055.parquet,4034976,403380,246133536,24613354,24209856,2420526,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.1,56,56,node_flow_chunk_056.parquet,4034976,403765,246133536,24613354,20174880,2017146,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.1,57,57,node_flow_chunk_057.parquet,4034976,403189,246133536,24613354,16139904,1613381,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.1,58,58,node_flow_chunk_058.parquet,4034976,402916,246133536,24613354,12104928,1210192,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.1,59,59,node_flow_chunk_059.parquet,4034976,403293,246133536,24613354,8069952,807276,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.1,60,60,node_flow_chunk_060.parquet,4034976,403983,246133536,24613354,4034976,403983,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.2,0,0,node_flow_chunk_000.parquet,4034976,807665,246133536,49226707,246133536,49226707,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.2,1,1,node_flow_chunk_001.parquet,4034976,806956,246133536,49226707,242098560,48419042,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.2,2,2,node_flow_chunk_002.parquet,4034976,807132,246133536,49226707,238063584,47612086,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.2,3,3,node_flow_chunk_003.parquet,4034976,807228,246133536,49226707,234028608,46804954,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.2,4,4,node_flow_chunk_004.parquet,4034976,807033,246133536,49226707,229993632,45997726,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.2,5,5,node_flow_chunk_005.parquet,4034976,806519,246133536,49226707,225958656,45190693,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.2,6,6,node_flow_chunk_006.parquet,4034976,806432,246133536,49226707,221923680,44384174,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.2,7,7,node_flow_chunk_007.parquet,4034976,807705,246133536,49226707,217888704,43577742,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.2,8,8,node_flow_chunk_008.parquet,4034976,808165,246133536,49226707,213853728,42770037,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.2,9,9,node_flow_chunk_009.parquet,4034976,807119,246133536,49226707,209818752,41961872,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.2,10,10,node_flow_chunk_010.parquet,4034976,807471,246133536,49226707,205783776,41154753,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.2,11,11,node_flow_chunk_011.parquet,4034976,806590,246133536,49226707,201748800,40347282,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.2,12,12,node_flow_chunk_012.parquet,4034976,806016,246133536,49226707,197713824,39540692,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.2,13,13,node_flow_chunk_013.parquet,4034976,806244,246133536,49226707,193678848,38734676,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.2,14,14,node_flow_chunk_014.parquet,4034976,807163,246133536,49226707,189643872,37928432,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.2,15,15,node_flow_chunk_015.parquet,4034976,807050,246133536,49226707,185608896,37121269,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.2,16,16,node_flow_chunk_016.parquet,4034976,807517,246133536,49226707,181573920,36314219,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.2,17,17,node_flow_chunk_017.parquet,4034976,807246,246133536,49226707,177538944,35506702,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.2,18,18,node_flow_chunk_018.parquet,4034976,806795,246133536,49226707,173503968,34699456,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.2,19,19,node_flow_chunk_019.parquet,4034976,807269,246133536,49226707,169468992,33892661,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.2,20,20,node_flow_chunk_020.parquet,4034976,808587,246133536,49226707,165434016,33085392,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.2,21,21,node_flow_chunk_021.parquet,4034976,806510,246133536,49226707,161399040,32276805,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.2,22,22,node_flow_chunk_022.parquet,4034976,806237,246133536,49226707,157364064,31470295,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.2,23,23,node_flow_chunk_023.parquet,4034976,806859,246133536,49226707,153329088,30664058,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.2,24,24,node_flow_chunk_024.parquet,4034976,807767,246133536,49226707,149294112,29857199,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.2,25,25,node_flow_chunk_025.parquet,4034976,808001,246133536,49226707,145259136,29049432,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.2,26,26,node_flow_chunk_026.parquet,4034976,806862,246133536,49226707,141224160,28241431,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.2,27,27,node_flow_chunk_027.parquet,4034976,807753,246133536,49226707,137189184,27434569,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.2,28,28,node_flow_chunk_028.parquet,4034976,806067,246133536,49226707,133154208,26626816,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.2,29,29,node_flow_chunk_029.parquet,4034976,807328,246133536,49226707,129119232,25820749,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.2,30,30,node_flow_chunk_030.parquet,4034976,806548,246133536,49226707,125084256,25013421,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.2,31,31,node_flow_chunk_031.parquet,4034976,806725,246133536,49226707,121049280,24206873,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.2,32,32,node_flow_chunk_032.parquet,4034976,806226,246133536,49226707,117014304,23400148,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.2,33,33,node_flow_chunk_033.parquet,4034976,808533,246133536,49226707,112979328,22593922,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.2,34,34,node_flow_chunk_034.parquet,4034976,807171,246133536,49226707,108944352,21785389,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.2,35,35,node_flow_chunk_035.parquet,4034976,805899,246133536,49226707,104909376,20978218,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.2,36,36,node_flow_chunk_036.parquet,4034976,807565,246133536,49226707,100874400,20172319,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
0.2,37,37,node_flow_chunk_037.parquet,4034976,807261,246133536,49226707,96839424,19364754,global,sequential_hypergeometric_global_without_replacement,carry_forward,spatial_neighbor_holdout
