path,type,action,reason,safe_to_delete,notes
analysis_scripts/inventory_real_missingness_assets.py,file,delete_file,real-data missingness inventory script,true,明确属于缺失值设置、插补补全或其审计/结果目录。
analysis_scripts/real_data_missingness_experiment.py,file,delete_file,missingness/imp artifact,true,明确属于缺失值设置、插补补全或其审计/结果目录。
analysis_scripts/rebuild_full_missingness_manifests.py,file,delete_file,missingness/imp artifact,true,明确属于缺失值设置、插补补全或其审计/结果目录。
paper_revision/manuscript_sections_zh/current/real_data_missingness_experiment_design_zh.md,file,delete_file,missingness/imp artifact,true,明确属于缺失值设置、插补补全或其审计/结果目录。
paper_revision/manuscript_sections_zh/current/real_data_missingness_experiment_results_zh.md,file,delete_file,missingness/imp artifact,true,明确属于缺失值设置、插补补全或其审计/结果目录。
paper_revision/manuscript_sections_zh/real_data_missingness_experiment_design_zh.md,file,delete_file,missingness/imp artifact,true,明确属于缺失值设置、插补补全或其审计/结果目录。
paper_revision/manuscript_sections_zh/real_data_missingness_experiment_results_zh.md,file,delete_file,missingness/imp artifact,true,明确属于缺失值设置、插补补全或其审计/结果目录。
results/code_execution_status_report_zh.md,file,delete_file,missingness/imp artifact,true,明确属于缺失值设置、插补补全或其审计/结果目录。
results/real_data_missingness_experiments/figures/missing_rate_vs_imputation_rmse.pdf,file,delete_file,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_experiments/figures/missing_rate_vs_imputation_rmse.png,file,delete_file,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_experiments/real_data_missingness_experiment_audit.json,file,delete_file,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_experiments/real_data_missingness_experiment_audit.md,file,delete_file,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_experiments/summaries/imputation_quality_mean_std_table.csv,file,delete_file,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_experiments/summaries/imputation_quality_mean_std_table_zh.md,file,delete_file,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_experiments/summaries/imputation_quality_summary.csv,file,delete_file,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_experiments/summaries/missingness_actual_rate_table.csv,file,delete_file,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_experiments/summaries/missingness_design_summary.csv,file,delete_file,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_experiments/summaries/missingness_mask_summary.csv,file,delete_file,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_experiments_sample/figures/missing_rate_vs_imputation_rmse.pdf,file,delete_file,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_experiments_sample/figures/missing_rate_vs_imputation_rmse.png,file,delete_file,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_experiments_sample/figures/missing_rate_vs_imputation_rmse_log_y.png,file,delete_file,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_experiments_sample/real_data_missingness_experiment_audit.json,file,delete_file,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_experiments_sample/real_data_missingness_experiment_audit.md,file,delete_file,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_experiments_sample/summaries/imputation_quality_summary.csv,file,delete_file,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_experiments_sample/summaries/missingness_design_summary.csv,file,delete_file,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_experiments_sample/summaries/missingness_mask_summary.csv,file,delete_file,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history/full_intersection_missingness_audit.json,file,delete_file,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history/full_intersection_missingness_audit.md,file,delete_file,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history/full_intersection_missingness_validation.json,file,delete_file,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history/full_intersection_missingness_validation.md,file,delete_file,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history/historical_test/figures/missing_rate_vs_imputation_rmse.pdf,file,delete_file,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history/historical_test/figures/missing_rate_vs_imputation_rmse.png,file,delete_file,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history/historical_test/full_intersection_missingness_audit.json,file,delete_file,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history/historical_test/full_intersection_missingness_audit.md,file,delete_file,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
results/real_data_missingness_full_intersection_causal_history/historical_test/full_intersection_missingness_validation.json,file,delete_file,keyword-matched missingness/imp artifact,true,路径名含 missingness/imp/mcar/impute，且不属于保留范围。
