日期,时段,速度等级,最小平均速度,最大平均速度,平均平均速度,记录数
04-02,凌晨,4,5.48459877778,107.752,60.83427959413586,49120
04-02,凌晨,5,5.60593106667,110.395,38.4227765240148,406100
04-02,凌晨,6,2.0,104.036,34.501472115076446,254980
04-02,凌晨,7,2.0,86.544392,29.1559381545458,184220
04-02,上午,2,19.0455371111,83.9125991111,68.6763708468042,1220
04-02,上午,3,4.3554281192,97.1755713333,77.74196821273425,7320
04-02,上午,4,2.55978231111,97.5579685403,51.47150143182095,49120
04-02,上午,5,2.64757057778,107.02,35.384414461443015,406100
04-02,上午,6,2.0,87.6173583333,31.622788022408116,254980
04-02,上午,7,3.83557737778,97.8632,26.99007348743816,184220
04-02,中午,2,27.7845935556,82.2278367436,69.65952517938153,854
04-02,中午,3,7.56772167816,95.3092713333,75.76366027887669,5124
04-02,中午,4,2.88230057154,80.0713491111,48.37571922213823,34384
04-02,中午,5,3.1930423908,73.0777235573,33.23999569533378,284270
04-02,中午,6,3.32517348889,67.1664925361,29.577704463473093,178486
04-02,中午,7,3.94746218889,74.1925981515,24.969198998982453,128954
04-02,下午,2,20.7878137778,78.0027699502,68.5462813737063,854
04-02,下午,3,3.16581617918,94.7847940077,73.7608205357896,5124
04-02,下午,4,4.0,80.5238435556,45.850120802576406,34384
04-02,下午,5,3.18433071111,89.3220890355,32.77912492988772,284270
04-02,下午,6,2.0,78.2575,29.3905253338278,178486
04-02,下午,7,3.77144514286,72.7572633333,24.755839602882634,128954
04-02,傍晚,2,10.9697056444,77.5281118519,67.01435077636827,732
04-02,傍晚,3,3.18281138927,91.9019819157,73.39397859314566,4392
04-02,傍晚,4,3.74884668889,81.8747688889,45.55385204332581,29472
04-02,傍晚,5,3.08293155556,82.9611691582,31.51940903821445,243660
04-02,傍晚,6,2.61814423376,71.2450981041,28.075129424727386,152988
04-02,傍晚,7,2.97328882222,68.4928,23.790447751948037,110532
04-02,晚上,2,47.4568746667,77.8583322222,70.45857114853068,976
04-02,晚上,3,3.40787315556,94.4877382222,77.06596394848762,5856
04-02,晚上,4,5.3682408,113.792,53.978545447174746,39296
04-02,晚上,5,3.97756731111,102.171532667,35.37033086135719,324880
04-02,晚上,6,3.68227942222,76.57869,31.448536097857076,203984
04-02,晚上,7,3.75638291111,78.7099,26.45205586356684,147376
04-03,凌晨,2,47.5207971111,101.184546222,84.63784866846532,2440
04-03,凌晨,3,61.1360468196,96.6651208889,77.98879154783374,2440
04-03,凌晨,4,3.1020124,110.461287879,61.98095715269199,42380
04-03,凌晨,5,4.7877092,96.3564,38.95055222472443,353800
04-03,凌晨,6,6.1677284,106.548170443,34.02007874772126,283040
04-03,凌晨,7,7.37883811111,90.4190886667,28.49728208266687,217640
04-03,凌晨,8,22.7195215556,86.8933252758,45.77614797073251,1220
04-03,上午,2,3.26302932874,97.0029104444,59.75084458451073,2440
04-03,上午,3,8.01488512644,90.4756362222,54.68920965560066,2440
04-03,上午,4,3.83890636823,94.7602285545,53.91404686034925,42380
04-03,上午,5,2.56756929967,79.1931344444,35.80813658289997,353800
04-03,上午,6,2.55333333333,105.185,30.911720069441564,283040
04-03,上午,7,3.95231774444,88.6403,25.763636901032626,217640
04-03,上午,8,15.6732495556,65.7534611111,50.27001461296462,1220
04-03,中午,2,15.1421678015,80.9745413333,62.579913248081304,1708
04-03,中午,3,10.3018463667,79.2304486667,62.40931085798636,1708
04-03,中午,4,8.4158762381,74.0158172846,49.01388498446197,29666
04-03,中午,5,2.63543451797,82.5084374242,33.82120650879203,247660
04-03,中午,6,3.96182364667,83.5885,28.61077289416817,198128
04-03,中午,7,4.74324433333,70.1959502886,23.934485218485108,152348
04-03,中午,8,22.4352777778,64.1603122222,49.30939581868512,854
04-03,下午,2,14.3281068889,78.2209459347,56.12479456553202,1708
04-03,下午,3,8.85866208889,78.0664164444,68.07776803345283,1708
04-03,下午,4,5.91309604167,72.3479861905,45.12343093789078,29666
04-03,下午,5,3.25586868309,69.90256875,33.27206035362655,247660
04-03,下午,6,2.0,102.773997037,28.201432988709985,198128
04-03,下午,7,4.1801197518,64.923,23.907281024922504,152348
04-03,下午,8,18.6,64.2538123525,48.503190319008425,854
04-03,傍晚,2,14.2193033333,77.3012035556,60.078852479623954,1464
04-03,傍晚,3,11.4052134444,82.7436931111,70.44825460023803,1464
04-03,傍晚,4,5.27371104444,73.0306831111,43.445275129299866,25428
04-03,傍晚,5,2.76085692715,72.6827241066,31.97325330447889,212280
04-03,傍晚,6,2.80445604444,81.9735,26.87212069770149,169824
04-03,傍晚,7,3.81343655434,70.725997249,22.98661068048054,130584
04-03,傍晚,8,18.6,62.1240126437,48.20054705033316,732
04-03,晚上,2,23.2666817778,89.0675235556,70.83258629164328,1952
04-03,晚上,3,7.85172637778,88.2393971111,75.71344942105175,1952
04-03,晚上,4,2.80759271111,78.6624997778,53.28109762138531,33904
04-03,晚上,5,3.53012212369,81.1603682222,35.84692244202405,283040
04-03,晚上,6,4.9414452,83.9022881481,30.7143821576549,226432
04-03,晚上,7,4.62907241111,72.2604,25.658597353613512,174112
04-03,晚上,8,18.1958702222,63.1125442222,46.96430515399428,976
04-04,凌晨,2,12.0516623778,88.9600924444,72.04728889376636,1220
04-04,凌晨,4,15.2252826915,96.5470051111,61.638276249631325,53100
04-04,凌晨,5,4.323121,98.880055,38.59966758344659,395280
04-04,凌晨,6,9.42712142222,110.395,35.26593276375236,241560
04-04,凌晨,7,9.1028465,83.2139,28.404867505570838,211800
04-04,上午,2,16.2028368889,91.276976,76.2666329321398,1220
04-04,上午,4,2.36229613333,91.4477893333,50.58747154296408,53100
04-04,上午,5,3.38622917778,101.394,35.49464522801948,395280
04-04,上午,6,3.75696391039,86.0082,32.42857122265019,241560
04-04,上午,7,2.72200281161,82.5054,26.382189622802695,211800
04-04,中午,2,46.3853973333,82.5498073333,75.7831477762968,854
04-04,中午,4,2.0121424,82.6870407319,48.02260915439427,37170
04-04,中午,5,3.24974237931,71.329734826,33.513544034992876,276696
04-04,中午,6,3.91326051638,71.3698,30.645086273952433,169092
04-04,中午,7,2.56093589171,68.7706622222,24.342229982657884,148260
04-04,下午,2,42.3752073333,81.9224066995,75.24993185708871,854
04-04,下午,4,2.12252891111,81.7480571111,46.185237106101745,37170
04-04,下午,5,3.28040521676,74.598011963,33.06615730460203,276696
04-04,下午,6,3.95203657778,83.9229871623,30.167528487533154,169092
04-04,下午,7,2.961944,68.0135244444,24.13132917433713,148260
04-04,傍晚,2,28.259594064,80.8676837156,72.25272529601708,732
04-04,傍晚,4,2.08398197341,78.2732551111,45.72502910443367,31860
04-04,傍晚,5,3.20071173673,102.773,31.98018028096133,237168
04-04,傍晚,6,3.71554314315,72.5709914722,29.166199779494725,144936
04-04,傍晚,7,2.16407213333,74.2173,23.18723426264212,127080
04-04,晚上,2,19.2002235556,79.3363502222,67.70335952218211,976
04-04,晚上,4,3.57421957778,83.3185862222,55.230810712812094,42480
04-04,晚上,5,3.88996944444,91.6658,35.6417388985825,316224
04-04,晚上,6,3.89079566667,83.9022881481,32.64976050209311,193248
04-04,晚上,7,3.73173297778,81.1297,25.863064670279094,169440
04-05,凌晨,2,40.1793626667,91.29423,82.4975071522363,1220
04-05,凌晨,3,52.6244591111,90.3524646277,75.83701450510783,2440
04-05,凌晨,4,9.52415637778,102.795,63.136288017760194,70120
04-05,凌晨,5,4.09668884444,97.653436336,39.19509350600575,379000
04-05,凌晨,6,2.0,112.123912667,35.717742882393864,251320
04-05,凌晨,7,2.05193673725,115.27562,28.363666784730675,198860
04-05,上午,2,16.5781784444,88.6367713333,73.25048245256491,1220
04-05,上午,3,12.1430285778,87.8914884444,68.21417393596067,2440
04-05,上午,4,2.95255264286,99.8767826667,53.820576934676865,70120
04-05,上午,5,2.48948615556,99.1659,35.99932315010869,379000
04-05,上午,6,2.0,107.482,32.282252982962866,251320
04-05,上午,7,4.03151305556,84.0293921496,25.94245701906313,198860
04-05,中午,2,21.2018007594,86.2171927801,73.83482099620586,854
04-05,中午,3,17.081688046,81.285708,71.289692329759,1708
04-05,中午,4,3.394042002,82.0903288889,49.51970462977635,49084
04-05,中午,5,2.25020224444,78.9799342418,33.695065699778326,265300
04-05,中午,6,2.08005769869,86.3174670317,29.95924462427698,175924
04-05,中午,7,5.08374865556,61.3636,24.25289214685691,139202
04-05,下午,2,41.5548032281,84.5255281746,72.11995563986407,854
04-05,下午,3,24.2008593333,81.0941817778,72.88720327634003,1708
04-05,下午,4,4.0,81.3120996309,46.83175820001398,49084
04-05,下午,5,2.91135708889,77.9521022633,33.23077099212096,265300
04-05,下午,6,2.0,78.2575,29.445986233627476,175924
04-05,下午,7,4.74111111111,72.06885,24.247031185794356,139202
04-05,傍晚,2,6.59926527437,81.0424850693,71.03318559175659,732
04-05,傍晚,3,12.7345860667,82.1719215556,73.04512293228704,1464
04-05,傍晚,4,3.53543755556,83.4780928807,46.30754120818817,42072
04-05,傍晚,5,3.14648597778,77.1491050738,31.974003617793745,227400
04-05,傍晚,6,2.61814423376,74.4443567256,28.285968977017717,150792
04-05,傍晚,7,3.66,60.1840889667,23.317940259997464,119316
04-05,晚上,2,63.3534455556,83.2521233333,74.32118848769794,976
04-05,晚上,3,14.0557881333,81.1046282222,71.85465141639523,1952
04-05,晚上,4,4.95972562222,84.8916291111,55.181338293847226,56096
04-05,晚上,5,3.6757326,94.4949799575,36.03402491846821,303200
04-05,晚上,6,3.9691396,81.9954666667,32.30177679560446,201056
04-05,晚上,7,4.563664,75.0729,25.71347597663853,159088
04-06,凌晨,2,32.7535511111,84.3816742593,68.50784951318111,1220
04-06,凌晨,3,66.2919317778,86.5335538095,77.10465452916594,1220
04-06,凌晨,4,11.5072999556,84.9658255556,60.93501982422371,57340
04-06,凌晨,5,3.46500731111,104.359,39.26977501942705,368860
04-06,凌晨,6,4.34170773333,112.123912667,35.49120865335661,255940
04-06,凌晨,7,2.0,84.0202734566,28.39311708583765,218380
04-06,上午,2,18.3965988889,83.4747715556,69.10230278442674,1220
04-06,上午,3,65.431598,87.6080202222,78.89349855511638,1220
04-06,上午,4,3.00227676398,98.3985870204,51.56669491176615,57340
04-06,上午,5,2.24493137778,107.02,35.97177469851676,368860
04-06,上午,6,2.91122868966,106.873583047,32.35214651491007,255940
04-06,上午,7,2.0,83.8588,25.87151536701331,218380
04-06,中午,2,56.3138263995,75.702001879,69.54993252231013,854
04-06,中午,3,67.3507648017,83.4750669064,76.39892002357406,854
04-06,中午,4,3.21016137124,80.9600203232,47.45483483309064,40138
04-06,中午,5,2.29275846667,75.2295,33.663470767419234,258202
04-06,中午,6,3.51830182222,73.7469,30.05206666935243,179158
04-06,中午,7,2.93281942222,62.7073924444,24.048914149167377,152866
04-06,下午,2,46.6097073333,75.3022084729,69.08090128394049,854
04-06,下午,3,55.4570077789,80.3329724646,75.1684912911958,854
04-06,下午,4,4.81080930643,77.1658395833,44.115133243103735,40138
04-06,下午,5,3.16337155556,82.6214,33.03056042895855,258202
04-06,下午,6,2.0,78.8354,29.527444085104527,179158
04-06,下午,7,2.59083897778,70.6908108889,23.944392430017153,152866
04-06,傍晚,2,38.447962381,74.9830760935,66.30743971013266,732
04-06,傍晚,3,62.5082146667,79.9024244444,72.53591637276915,732
04-06,傍晚,4,2.27497022222,75.7108987063,44.34620419805052,34404
04-06,傍晚,5,3.34670386667,71.6942071358,32.02030244131869,221316
04-06,傍晚,6,3.25266847987,81.9735,28.27005352185008,153564
04-06,傍晚,7,3.52224445977,68.2905,22.945880687641612,131028
04-06,晚上,2,19.5972001111,72.0410313333,63.55535514637666,976
04-06,晚上,3,57.5317944444,80.5533484444,70.26134821761984,976
04-06,晚上,4,6.13597977778,78.6415110677,53.152045851951364,45872
04-06,晚上,5,3.2213782,101.393277778,36.07867318342866,295088
04-06,晚上,6,3.81648733333,85.3864155577,32.20640815404661,204752
04-06,晚上,7,3.85593054444,83.2848,25.675112268425025,174704
04-07,凌晨,2,37.6210851111,87.0347288889,79.58092644286239,1220
04-07,凌晨,3,46.0992246667,82.646548,69.77832477461259,1120
04-07,凌晨,4,3.1020124,89.7423655506,55.20451637330734,48800
04-07,凌晨,5,6.0,110.395,37.90734725993724,392840
04-07,凌晨,6,2.0,110.395,36.376679884985954,238160
04-07,凌晨,7,2.0,86.7251,28.49773251512079,220820
04-07,上午,2,22.3171455238,84.8513002222,70.32899968281441,1220
04-07,上午,3,5.44748242222,78.6951126667,36.35943931314128,1120
04-07,上午,4,2.64019491341,84.1742731111,47.5760364913621,48800
04-07,上午,5,2.42970228889,103.206627208,35.146381730378934,392840
04-07,上午,6,2.0,93.54168,33.21070564551954,238160
04-07,上午,7,3.64994027778,83.3208,26.338479010754117,220820
04-07,中午,2,22.3311855013,84.3289366057,71.3430137420575,854
04-07,中午,3,7.92928625573,68.3466471111,35.3268522876387,784
04-07,中午,4,3.14176506667,80.8071895493,43.99754763216756,34160
04-07,中午,5,3.3212906469,71.6097848889,33.171961409052344,274988
04-07,中午,6,3.20376611111,85.205144418,30.960898904342844,166712
04-07,中午,7,3.46422252717,73.5532014815,24.432252876692782,154574
04-07,下午,2,31.0031745177,80.5521329493,69.83568035160383,854
04-07,下午,3,9.04419152788,61.6423853333,20.7221926139038,784
04-07,下午,4,2.94996633333,73.6970851111,41.676971078655285,34160
04-07,下午,5,2.96484147443,69.3052093338,32.63648730383476,274988
04-07,下午,6,2.67415053333,81.7572266667,30.611683534913926,166712
04-07,下午,7,3.2393725289,79.1306686667,24.345844198755273,154574
04-07,傍晚,2,6.57658478261,78.2651608889,68.3744656156946,732
04-07,傍晚,3,7.7242816,59.8319928449,23.620302643878354,672
04-07,傍晚,4,2.73132122222,79.0523833447,41.45462713828946,29280
04-07,傍晚,5,3.34670386667,70.3186170908,31.281076919472053,235704
04-07,傍晚,6,2.61814423376,76.5701614286,29.560311064124086,142896
04-07,傍晚,7,3.07818278256,74.2173,23.378087392773757,132492
04-07,晚上,2,56.4755113333,80.4836268183,71.7400130562304,976
04-07,晚上,3,7.92326571111,72.9084402222,51.231530753920204,896
04-07,晚上,4,2.80759271111,77.7449257778,48.78136780345376,39040
04-07,晚上,5,3.566886,92.9414725758,34.960338385421146,314272
04-07,晚上,6,3.59418966667,85.3864155577,33.32877017795559,190528
04-07,晚上,7,3.7970572124,80.161,25.924448415061423,176656
04-08,凌晨,3,62.4595275556,91.1098124444,81.01240796423167,1320
04-08,凌晨,4,7.00046275556,97.7966797701,57.042141859675006,51240
04-08,凌晨,5,2.0,101.896,38.67734683846368,392840
04-08,凌晨,6,6.82138622222,95.9969777778,36.24769798212069,256260
04-08,凌晨,7,2.0,90.4190886667,28.003174223364226,201300
04-08,上午,3,8.27165294073,90.0180784444,79.6086370307812,1320
04-08,上午,4,3.38027483218,91.8476564444,51.22677630125944,51240
04-08,上午,5,2.11049328307,89.9117322521,35.731654810998,392840
04-08,上午,6,3.32595124444,100.378,32.51473214628419,256260
04-08,上午,7,2.0,83.6571,25.7791601664612,201300
04-08,中午,3,9.04802618391,86.5961186772,76.10590208937491,924
04-08,中午,4,3.63940963465,82.965358,48.068631305295675,35868
04-08,中午,5,2.49459264286,83.7525091111,33.53839710829523,274988
04-08,中午,6,2.79935828889,65.0567532385,29.964064579174288,179382
04-08,中午,7,2.83318235556,77.4539,24.111162445580508,140910
04-08,下午,3,9.90402081395,83.331454,73.37402404277037,924
04-08,下午,4,3.55883172277,83.573829619,45.79755217679083,35868
04-08,下午,5,3.12615041053,78.2053888889,32.95034040787434,274988
04-08,下午,6,3.908047,73.5858452929,29.332126822269686,179382
04-08,下午,7,3.17482166667,83.5562,24.10953680510927,140910
04-08,傍晚,3,9.78882657778,80.0316075556,67.37010771135972,792
04-08,傍晚,4,3.90928342967,83.0717057778,44.60390532721748,30744
04-08,傍晚,5,2.06702255556,80.4172746667,31.72498135119585,235704
04-08,傍晚,6,3.87080593333,69.6885071111,28.156598295526724,153756
04-08,傍晚,7,2.24693677778,76.2060945299,23.006784508552258,120780
04-08,晚上,3,14.1019558889,85.1232693333,71.18615436979567,1056
04-08,晚上,4,6.74294011111,88.4518106667,51.56989862271418,40992
04-08,晚上,5,3.5599406,87.752724,35.489677320725896,314272
04-08,晚上,6,3.89079566667,92.5734,32.547783929036655,205008
04-08,晚上,7,4.33411253333,86.0488,25.484086820834953,161040
04-09,凌晨,3,23.6,102.989669002,66.37595280975462,3660
04-09,凌晨,4,9.78047388889,92.6581462944,64.4153229634408,47580
04-09,凌晨,5,5.88392851111,112.286,38.61052829960143,405260
04-09,凌晨,6,4.58435813333,114.025,36.22589208117151,240280
04-09,凌晨,7,10.9976171154,87.76,28.78727383071879,206180
04-09,上午,3,6.49572724444,98.0361242222,65.65372301954739,3660
04-09,上午,4,2.25952717778,87.589354429,55.63075018303981,47580
04-09,上午,5,2.37594655556,91.9794490741,35.506782793573024,405260
04-09,上午,6,2.9850802,105.185,32.919665814633504,240280
04-09,上午,7,2.65588186667,83.8588,26.468292905811794,206180
04-09,中午,3,9.35427427586,93.4152015455,67.0686259983293,2562
04-09,中午,4,3.94409452089,80.0713491111,52.15217451844196,33306
04-09,中午,5,3.15119823357,73.1881517182,33.243118796340525,283682
04-09,中午,6,3.3177322,80.770342,30.431048063710442,168196
04-09,中午,7,3.46422252717,69.8688299495,24.50736534238011,144326
04-09,下午,3,25.8108780598,88.9476673333,63.76781848806189,2562
04-09,下午,4,4.26236964147,80.6953944444,50.060653080996225,33306
04-09,下午,5,2.72463822222,65.5649146027,32.66781905650009,283682
04-09,下午,6,3.24591871111,78.8354,29.981052149892378,168196
04-09,下午,7,3.2393725289,67.8795640548,24.366110817931492,144326
04-09,傍晚,3,18.1451597215,92.1681618648,63.94543965171494,2196
04-09,傍晚,4,3.63620597778,76.6208028889,49.23089515376583,28548
04-09,傍晚,5,3.1369454,72.3561277935,31.435359421089764,243156
04-09,傍晚,6,2.47046951239,74.7589197691,28.74375262546927,144168
04-09,傍晚,7,2.16407213333,70.9554308182,23.310351315544878,123708
04-09,晚上,3,37.9250548889,92.8753208889,67.84685902040674,2928
04-09,晚上,4,7.25913551111,82.6386611111,57.713161373661514,38064
04-09,晚上,5,2.70718176754,85.0471768333,35.43490807099502,324208
04-09,晚上,6,4.0,82.235975,32.73850236424522,192224
04-09,晚上,7,3.52085129503,83.0752,26.04231220908618,164944
04-10,凌晨,3,59.9774966652,102.989669002,81.08887762959455,4880
04-10,凌晨,4,11.1818571556,89.4997391111,65.2329394755786,53680
04-10,凌晨,5,2.0,100.855,38.5358697450838,380800
04-10,凌晨,6,10.3667422448,97.8164464021,35.81876655174298,236680
04-10,凌晨,7,4.11137733333,96.1938,28.98934628042542,226920
04-10,上午,3,4.45235875556,97.1755713333,75.57216697354436,4880
04-10,上午,4,2.23842587685,87.0001791111,54.53719869686202,53680
04-10,上午,5,2.4616958,94.2573,35.28186164417165,380800
04-10,上午,6,2.31107620926,95.0771599601,32.89961916222149,236680
04-10,上午,7,3.21008735556,109.196590222,26.529254858880737,226920
04-10,中午,3,5.35170236782,92.1608328889,75.59996408949605,3416
04-10,中午,4,2.84918944444,78.3160793333,52.11312363957892,37576
04-10,中午,5,2.29275846667,71.1519526089,33.03161620243757,266560
04-10,中午,6,2.97670650384,64.9877086667,30.65198893659452,165676
04-10,中午,7,3.37122182222,74.419204,24.524621190451075,158844
04-10,下午,3,7.36807197542,88.9476673333,75.42627901378367,3416
04-10,下午,4,3.21856924072,77.5513437138,50.16860291077104,37576
04-10,下午,5,2.91135708889,89.3220890355,32.4718940350667,266560
04-10,下午,6,3.542181423,83.9425,29.775548168688886,165676
04-10,下午,7,3.68130083333,78.3391,24.39071810662676,158844
04-10,傍晚,3,3.97971837582,90.1596042222,73.29543581245771,2928
04-10,傍晚,4,3.1282264,77.1862464444,49.512610389184445,32208
04-10,傍晚,5,2.10266797778,77.3935828571,31.18430504169149,228480
04-10,傍晚,6,3.70830648889,75.49512,28.36713159366471,142008
04-10,傍晚,7,3.94273591981,70.725997249,23.416449249694086,136152
04-10,晚上,3,8.22401397778,91.1949973333,76.84530599057621,3904
04-10,晚上,4,3.92126715556,83.5706848889,58.43027702857639,42944
04-10,晚上,5,3.53012212369,81.2583,35.16347311353404,304640
04-10,晚上,6,3.93761897778,80.2483,32.3899302099138,189344
04-10,晚上,7,5.03104633333,89.6311365829,26.17623076288234,181536
04-11,凌晨,3,43.5612733333,90.8520947953,70.15892599200531,3660
04-11,凌晨,4,15.4583,105.521565203,59.03625388518262,51240
04-11,凌晨,5,2.0,106.102055152,38.75369515768214,382700
04-11,凌晨,6,4.21153423544,110.092266891,35.75212899304907,281140
04-11,凌晨,7,2.0795825,92.7583,28.522716588731626,184220
04-11,上午,3,13.1880075556,88.5630342222,65.11856884003429,3660
04-11,上午,4,2.66481446667,90.8877460704,50.717354666836755,51240
04-11,上午,5,2.68230833333,90.2136798547,35.64610200536109,382700
04-11,上午,6,2.50306829885,97.0393,32.564465838885795,281140
04-11,上午,7,3.61239555323,83.9149,26.081755554739967,184220
04-11,中午,3,17.0847145026,81.285708,67.9532830187124,2562
04-11,中午,4,3.23329328672,84.6735749857,47.19615989062247,35868
04-11,中午,5,2.25020224444,71.5966495556,33.285570755748694,267890
04-11,中午,6,2.67111573333,75.1334,30.375715970171438,196798
04-11,中午,7,3.75185713333,74.6038455345,23.98248035852079,128954
04-11,下午,3,24.2008593333,82.1638064756,68.89526527085216,2562
04-11,下午,4,3.58752221821,84.3070905284,44.60265929221532,35868
04-11,下午,5,2.61494144444,71.528895829,32.784563552371516,267890
04-11,下午,6,2.57687965818,82.5168666667,29.947755187948793,196798
04-11,下午,7,3.82738705556,62.8219,23.87436529362165,128954
04-11,傍晚,3,14.1980497701,82.1719215556,69.00898652038019,2196
04-11,傍晚,4,2.61566583674,95.3073306906,42.98541138063123,30744
04-11,傍晚,5,3.16386642222,70.5220122222,31.71465002484386,229620
04-11,傍晚,6,2.73921118841,64.7294625,28.714181478588525,168684
04-11,傍晚,7,3.74921172222,82.2135,23.21303535674271,110532
04-11,晚上,3,36.3674751111,80.8084017778,67.51770378236131,2928
04-11,晚上,4,3.24525271111,99.7415636364,52.69109946707624,40992
04-11,晚上,5,3.48681586667,87.7493997306,35.48615168380947,306160
04-11,晚上,6,3.81648733333,83.3549,32.6130730817669,224912
04-11,晚上,7,5.40191588417,79.9978390646,25.71913244338425,147376
04-12,凌晨,2,26.0835004444,86.8489635556,72.82138214311993,1220
04-12,凌晨,3,16.3148904,97.117852,79.71269962368268,3660
04-12,凌晨,4,8.83180546667,92.5664211111,59.61124686842851,40260
04-12,凌晨,5,2.0,105.33744154,38.78145669955405,375240
04-12,凌晨,6,4.36251442222,110.092266891,35.78715687484997,262980
04-12,凌晨,7,2.21063555556,117.027,28.846453825496788,219600
04-12,上午,2,15.3727815556,82.2369877778,62.19032342830217,1220
04-12,上午,3,3.75835602222,93.3972262222,74.98349958978771,3660
04-12,上午,4,2.66481446667,93.591566,52.76263043781568,40260
04-12,上午,5,2.22416245977,99.333,35.54490030172573,375240
04-12,上午,6,2.93989791111,105.517,32.427758304470345,262980
04-12,上午,7,2.07021185185,97.8976,26.549056432872263,219600
04-12,中午,2,10.6215097556,74.6583284444,53.7138938287622,854
04-12,中午,3,6.4626848,86.9459322222,73.05734993156211,2562
04-12,中午,4,4.12985181127,87.9464158367,50.081803758457255,28182
04-12,中午,5,2.78849193409,74.4327,33.19774645528093,262668
04-12,中午,6,3.78641910509,81.3867247196,30.11249757983181,184086
04-12,中午,7,3.28641000436,59.4251416667,24.655654905512254,153720
04-12,下午,2,10.7311514781,75.572864,51.68608452846636,854
04-12,下午,3,4.87420618894,87.1514428889,69.19679231954433,2562
04-12,下午,4,4.61542462222,99.63246405,47.28791993923507,28182
04-12,下午,5,3.18264475146,92.7998416667,32.723041440051894,262668
04-12,下午,6,2.415,70.075152,29.610603296032092,184086
04-12,下午,7,3.55120168889,70.6131690808,24.45262758470914,153720
04-12,傍晚,2,7.14697215556,71.1019437778,31.937629369120607,732
04-12,傍晚,3,3.66326733333,84.7828267619,60.31835882281143,2196
04-12,傍晚,4,4.4224958,84.1264778851,46.49338123496728,24156
04-12,傍晚,5,2.76440711111,77.4119272117,31.587570635044997,225144
04-12,傍晚,6,3.47910786537,74.3302927778,28.64910833524132,157788
04-12,傍晚,7,3.72048726667,59.5580444407,23.454408219270483,131760
04-12,晚上,2,7.17490211111,80.8322593333,57.81109058039135,976
04-12,晚上,3,4.2903948,85.9144593333,72.78073408429877,2928
04-12,晚上,4,4.08545075556,86.9816673333,53.75677798421726,32208
04-12,晚上,5,3.55283555556,93.4444,35.47619979761553,300192
04-12,晚上,6,3.9056768,86.4889175148,32.49254081962287,210384
04-12,晚上,7,2.87959542222,69.4202656767,26.14888438551228,175680
04-13,凌晨,3,45.6966790444,98.1421731111,78.00112721555101,4880
04-13,凌晨,4,3.1020124,99.3424888778,61.91504468120976,63440
04-13,凌晨,5,4.00156631111,100.575949084,39.553312277306304,373840
04-13,凌晨,6,2.0,111.884706313,35.86310703927553,245220
04-13,凌晨,7,2.10681152653,83.1723,28.637671839900104,215580
04-13,上午,3,5.38018622222,97.210952,67.61105408050656,4880
04-13,上午,4,2.25952717778,92.2088254821,52.22762453820124,63440
04-13,上午,5,3.10429495556,99.8239,36.46800157792311,373840
04-13,上午,6,2.71952618188,113.84,33.154024730840796,245220
04-13,上午,7,3.84390875556,83.6514,26.022927581892105,215580
04-13,中午,3,6.57827705747,90.2673557778,69.43992618439852,3416
