old_path,new_path,old_name,new_name,path_type,artifact_group,scenario_id_old,scenario_id_new,is_large_data,action,status,notes
results\real_data_missingness_experiments\scenarios\node_subset_temporal_outage_mixed_short_mid_long,results\rdm_exp\scenarios\nso_mix,node_subset_temporal_outage_mixed_short_mid_long,nso_mix,directory,scenario,node_subset_temporal_outage_mixed_short_mid_long,nso_mix,false,move,planned,target_root shortened to rdm_exp; scenario_id shortened; scenario or method artifact directory shortened
results\real_data_missingness_experiments\scenarios\node_temporal_block_mixed_short_mid_long,results\rdm_exp\scenarios\ntb_mix,node_temporal_block_mixed_short_mid_long,ntb_mix,directory,scenario,node_temporal_block_mixed_short_mid_long,ntb_mix,false,move,planned,target_root shortened to rdm_exp; scenario_id shortened; scenario or method artifact directory shortened
results\real_data_missingness_experiments\scenarios\global_mcar_point\imputation,results\rdm_exp\scenarios\g_mcar_pt\imp,imputation,imp,directory,imp,global_mcar_point,g_mcar_pt,false,move,planned,target_root shortened to rdm_exp; fixed directory name shortened
results\real_data_missingness_experiments\scenarios\global_mcar_point\missingness_setting,results\rdm_exp\scenarios\g_mcar_pt\miss_set,missingness_setting,miss_set,directory,miss_set,global_mcar_point,g_mcar_pt,false,move,planned,target_root shortened to rdm_exp; fixed directory name shortened
results\real_data_missingness_experiments\scenarios\node_subset_temporal_outage_mixed_short_mid_long\imputation,results\rdm_exp\scenarios\nso_mix\imp,imputation,imp,directory,imp,node_subset_temporal_outage_mixed_short_mid_long,nso_mix,false,move,planned,target_root shortened to rdm_exp; fixed directory name shortened
results\real_data_missingness_experiments\scenarios\node_subset_temporal_outage_mixed_short_mid_long\missingness_setting,results\rdm_exp\scenarios\nso_mix\miss_set,missingness_setting,miss_set,directory,miss_set,node_subset_temporal_outage_mixed_short_mid_long,nso_mix,false,move,planned,target_root shortened to rdm_exp; fixed directory name shortened
results\real_data_missingness_experiments\scenarios\node_temporal_block_mixed_short_mid_long\imputation,results\rdm_exp\scenarios\ntb_mix\imp,imputation,imp,directory,imp,node_temporal_block_mixed_short_mid_long,ntb_mix,false,move,planned,target_root shortened to rdm_exp; fixed directory name shortened
results\real_data_missingness_experiments\scenarios\node_temporal_block_mixed_short_mid_long\missingness_setting,results\rdm_exp\scenarios\ntb_mix\miss_set,missingness_setting,miss_set,directory,miss_set,node_temporal_block_mixed_short_mid_long,ntb_mix,false,move,planned,target_root shortened to rdm_exp; fixed directory name shortened
results\real_data_missingness_experiments\scenarios\global_mcar_point\imputation\audits,results\rdm_exp\scenarios\g_mcar_pt\imp\audits,audits,audits,directory,imp,global_mcar_point,g_mcar_pt,false,move,planned,target_root shortened to rdm_exp
results\real_data_missingness_experiments\scenarios\global_mcar_point\imputation\figures,results\rdm_exp\scenarios\g_mcar_pt\imp\figures,figures,figures,directory,imp,global_mcar_point,g_mcar_pt,false,move,planned,target_root shortened to rdm_exp
results\real_data_missingness_experiments\scenarios\global_mcar_point\imputation\imputed_datasets,results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data,imputed_datasets,imp_data,directory,imputation_data,global_mcar_point,g_mcar_pt,true,move,planned,target_root shortened to rdm_exp; fixed directory name shortened
results\real_data_missingness_experiments\scenarios\global_mcar_point\imputation\manifests,results\rdm_exp\scenarios\g_mcar_pt\imp\manifests,manifests,manifests,directory,imp,global_mcar_point,g_mcar_pt,false,move,planned,target_root shortened to rdm_exp
results\real_data_missingness_experiments\scenarios\global_mcar_point\imputation\summaries,results\rdm_exp\scenarios\g_mcar_pt\imp\summaries,summaries,summaries,directory,imp,global_mcar_point,g_mcar_pt,false,move,planned,target_root shortened to rdm_exp
results\real_data_missingness_experiments\scenarios\global_mcar_point\missingness_setting\audits,results\rdm_exp\scenarios\g_mcar_pt\miss_set\audits,audits,audits,directory,miss_set,global_mcar_point,g_mcar_pt,false,move,planned,target_root shortened to rdm_exp
results\real_data_missingness_experiments\scenarios\global_mcar_point\missingness_setting\manifests,results\rdm_exp\scenarios\g_mcar_pt\miss_set\manifests,manifests,manifests,directory,miss_set,global_mcar_point,g_mcar_pt,false,move,planned,target_root shortened to rdm_exp
results\real_data_missingness_experiments\scenarios\global_mcar_point\missingness_setting\masks,results\rdm_exp\scenarios\g_mcar_pt\miss_set\masks,masks,masks,directory,missingness_data,global_mcar_point,g_mcar_pt,true,move,planned,target_root shortened to rdm_exp
results\real_data_missingness_experiments\scenarios\global_mcar_point\missingness_setting\missing_datasets,results\rdm_exp\scenarios\g_mcar_pt\miss_set\miss_data,missing_datasets,miss_data,directory,missingness_data,global_mcar_point,g_mcar_pt,true,move,planned,target_root shortened to rdm_exp; fixed directory name shortened
results\real_data_missingness_experiments\scenarios\node_subset_temporal_outage_mixed_short_mid_long\imputation\audits,results\rdm_exp\scenarios\nso_mix\imp\audits,audits,audits,directory,imp,node_subset_temporal_outage_mixed_short_mid_long,nso_mix,false,move,planned,target_root shortened to rdm_exp
results\real_data_missingness_experiments\scenarios\node_subset_temporal_outage_mixed_short_mid_long\imputation\figures,results\rdm_exp\scenarios\nso_mix\imp\figures,figures,figures,directory,imp,node_subset_temporal_outage_mixed_short_mid_long,nso_mix,false,move,planned,target_root shortened to rdm_exp
results\real_data_missingness_experiments\scenarios\node_subset_temporal_outage_mixed_short_mid_long\imputation\imputed_datasets,results\rdm_exp\scenarios\nso_mix\imp\imp_data,imputed_datasets,imp_data,directory,imputation_data,node_subset_temporal_outage_mixed_short_mid_long,nso_mix,true,move,planned,target_root shortened to rdm_exp; fixed directory name shortened
results\real_data_missingness_experiments\scenarios\node_subset_temporal_outage_mixed_short_mid_long\imputation\manifests,results\rdm_exp\scenarios\nso_mix\imp\manifests,manifests,manifests,directory,imp,node_subset_temporal_outage_mixed_short_mid_long,nso_mix,false,move,planned,target_root shortened to rdm_exp
results\real_data_missingness_experiments\scenarios\node_subset_temporal_outage_mixed_short_mid_long\imputation\summaries,results\rdm_exp\scenarios\nso_mix\imp\summaries,summaries,summaries,directory,imp,node_subset_temporal_outage_mixed_short_mid_long,nso_mix,false,move,planned,target_root shortened to rdm_exp
results\real_data_missingness_experiments\scenarios\node_subset_temporal_outage_mixed_short_mid_long\missingness_setting\audits,results\rdm_exp\scenarios\nso_mix\miss_set\audits,audits,audits,directory,miss_set,node_subset_temporal_outage_mixed_short_mid_long,nso_mix,false,move,planned,target_root shortened to rdm_exp
results\real_data_missingness_experiments\scenarios\node_subset_temporal_outage_mixed_short_mid_long\missingness_setting\manifests,results\rdm_exp\scenarios\nso_mix\miss_set\manifests,manifests,manifests,directory,miss_set,node_subset_temporal_outage_mixed_short_mid_long,nso_mix,false,move,planned,target_root shortened to rdm_exp
results\real_data_missingness_experiments\scenarios\node_subset_temporal_outage_mixed_short_mid_long\missingness_setting\masks,results\rdm_exp\scenarios\nso_mix\miss_set\masks,masks,masks,directory,missingness_data,node_subset_temporal_outage_mixed_short_mid_long,nso_mix,true,move,planned,target_root shortened to rdm_exp
results\real_data_missingness_experiments\scenarios\node_subset_temporal_outage_mixed_short_mid_long\missingness_setting\missing_datasets,results\rdm_exp\scenarios\nso_mix\miss_set\miss_data,missing_datasets,miss_data,directory,missingness_data,node_subset_temporal_outage_mixed_short_mid_long,nso_mix,true,move,planned,target_root shortened to rdm_exp; fixed directory name shortened
results\real_data_missingness_experiments\scenarios\node_temporal_block_mixed_short_mid_long\imputation\audits,results\rdm_exp\scenarios\ntb_mix\imp\audits,audits,audits,directory,imp,node_temporal_block_mixed_short_mid_long,ntb_mix,false,move,planned,target_root shortened to rdm_exp
results\real_data_missingness_experiments\scenarios\node_temporal_block_mixed_short_mid_long\imputation\figures,results\rdm_exp\scenarios\ntb_mix\imp\figures,figures,figures,directory,imp,node_temporal_block_mixed_short_mid_long,ntb_mix,false,move,planned,target_root shortened to rdm_exp
results\real_data_missingness_experiments\scenarios\node_temporal_block_mixed_short_mid_long\imputation\imputed_datasets,results\rdm_exp\scenarios\ntb_mix\imp\imp_data,imputed_datasets,imp_data,directory,imputation_data,node_temporal_block_mixed_short_mid_long,ntb_mix,true,move,planned,target_root shortened to rdm_exp; fixed directory name shortened
results\real_data_missingness_experiments\scenarios\node_temporal_block_mixed_short_mid_long\imputation\manifests,results\rdm_exp\scenarios\ntb_mix\imp\manifests,manifests,manifests,directory,imp,node_temporal_block_mixed_short_mid_long,ntb_mix,false,move,planned,target_root shortened to rdm_exp
results\real_data_missingness_experiments\scenarios\node_temporal_block_mixed_short_mid_long\imputation\summaries,results\rdm_exp\scenarios\ntb_mix\imp\summaries,summaries,summaries,directory,imp,node_temporal_block_mixed_short_mid_long,ntb_mix,false,move,planned,target_root shortened to rdm_exp
results\real_data_missingness_experiments\scenarios\node_temporal_block_mixed_short_mid_long\missingness_setting\audits,results\rdm_exp\scenarios\ntb_mix\miss_set\audits,audits,audits,directory,miss_set,node_temporal_block_mixed_short_mid_long,ntb_mix,false,move,planned,target_root shortened to rdm_exp
results\real_data_missingness_experiments\scenarios\node_temporal_block_mixed_short_mid_long\missingness_setting\manifests,results\rdm_exp\scenarios\ntb_mix\miss_set\manifests,manifests,manifests,directory,miss_set,node_temporal_block_mixed_short_mid_long,ntb_mix,false,move,planned,target_root shortened to rdm_exp
results\real_data_missingness_experiments\scenarios\node_temporal_block_mixed_short_mid_long\missingness_setting\masks,results\rdm_exp\scenarios\ntb_mix\miss_set\masks,masks,masks,directory,missingness_data,node_temporal_block_mixed_short_mid_long,ntb_mix,true,move,planned,target_root shortened to rdm_exp
results\real_data_missingness_experiments\scenarios\node_temporal_block_mixed_short_mid_long\missingness_setting\missing_datasets,results\rdm_exp\scenarios\ntb_mix\miss_set\miss_data,missing_datasets,miss_data,directory,missingness_data,node_temporal_block_mixed_short_mid_long,ntb_mix,true,move,planned,target_root shortened to rdm_exp; fixed directory name shortened
results\real_data_missingness_experiments\scenarios\global_mcar_point\imputation\imputed_datasets\rate_0p05__mechanism_mcar_point__scope_global__seed_42__method_forward_fill,results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data\r05_mcar_s42_m_ff,rate_0p05__mechanism_mcar_point__scope_global__seed_42__method_forward_fill,r05_mcar_s42_m_ff,directory,imputation_data,global_mcar_point,g_mcar_pt,true,move,planned,target_root shortened to rdm_exp; scenario or method artifact directory shortened
results\real_data_missingness_experiments\scenarios\global_mcar_point\imputation\imputed_datasets\rate_0p05__mechanism_mcar_point__scope_global__seed_42__method_function_curve_fit,results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data\r05_mcar_s42_m_fcf,rate_0p05__mechanism_mcar_point__scope_global__seed_42__method_function_curve_fit,r05_mcar_s42_m_fcf,directory,imputation_data,global_mcar_point,g_mcar_pt,true,move,planned,target_root shortened to rdm_exp; scenario or method artifact directory shortened
results\real_data_missingness_experiments\scenarios\global_mcar_point\imputation\imputed_datasets\rate_0p05__mechanism_mcar_point__scope_global__seed_42__method_historical_linear_extrapolation,results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data\r05_mcar_s42_m_hle,rate_0p05__mechanism_mcar_point__scope_global__seed_42__method_historical_linear_extrapolation,r05_mcar_s42_m_hle,directory,imputation_data,global_mcar_point,g_mcar_pt,true,move,planned,target_root shortened to rdm_exp; scenario or method artifact directory shortened
results\real_data_missingness_experiments\scenarios\global_mcar_point\imputation\imputed_datasets\rate_0p05__mechanism_mcar_point__scope_global__seed_42__method_road_topology_neighbor_fill,results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data\r05_mcar_s42_m_rtn,rate_0p05__mechanism_mcar_point__scope_global__seed_42__method_road_topology_neighbor_fill,r05_mcar_s42_m_rtn,directory,imputation_data,global_mcar_point,g_mcar_pt,true,move,planned,target_root shortened to rdm_exp; scenario or method artifact directory shortened
results\real_data_missingness_experiments\scenarios\global_mcar_point\imputation\imputed_datasets\rate_0p05__mechanism_mcar_point__scope_global__seed_42__method_topology_function_hybrid,results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data\r05_mcar_s42_m_tfh,rate_0p05__mechanism_mcar_point__scope_global__seed_42__method_topology_function_hybrid,r05_mcar_s42_m_tfh,directory,imputation_data,global_mcar_point,g_mcar_pt,true,move,planned,target_root shortened to rdm_exp; scenario or method artifact directory shortened
results\real_data_missingness_experiments\scenarios\global_mcar_point\imputation\imputed_datasets\rate_0p05__mechanism_mcar_point__scope_global__seed_42__method_zero_fill,results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data\r05_mcar_s42_m_zf,rate_0p05__mechanism_mcar_point__scope_global__seed_42__method_zero_fill,r05_mcar_s42_m_zf,directory,imputation_data,global_mcar_point,g_mcar_pt,true,move,planned,target_root shortened to rdm_exp; scenario or method artifact directory shortened
results\real_data_missingness_experiments\scenarios\global_mcar_point\imputation\imputed_datasets\rate_0p10__mechanism_mcar_point__scope_global__seed_42__method_forward_fill,results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data\r10_mcar_s42_m_ff,rate_0p10__mechanism_mcar_point__scope_global__seed_42__method_forward_fill,r10_mcar_s42_m_ff,directory,imputation_data,global_mcar_point,g_mcar_pt,true,move,planned,target_root shortened to rdm_exp; scenario or method artifact directory shortened
results\real_data_missingness_experiments\scenarios\global_mcar_point\imputation\imputed_datasets\rate_0p10__mechanism_mcar_point__scope_global__seed_42__method_function_curve_fit,results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data\r10_mcar_s42_m_fcf,rate_0p10__mechanism_mcar_point__scope_global__seed_42__method_function_curve_fit,r10_mcar_s42_m_fcf,directory,imputation_data,global_mcar_point,g_mcar_pt,true,move,planned,target_root shortened to rdm_exp; scenario or method artifact directory shortened
results\real_data_missingness_experiments\scenarios\global_mcar_point\imputation\imputed_datasets\rate_0p10__mechanism_mcar_point__scope_global__seed_42__method_historical_linear_extrapolation,results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data\r10_mcar_s42_m_hle,rate_0p10__mechanism_mcar_point__scope_global__seed_42__method_historical_linear_extrapolation,r10_mcar_s42_m_hle,directory,imputation_data,global_mcar_point,g_mcar_pt,true,move,planned,target_root shortened to rdm_exp; scenario or method artifact directory shortened
results\real_data_missingness_experiments\scenarios\global_mcar_point\imputation\imputed_datasets\rate_0p10__mechanism_mcar_point__scope_global__seed_42__method_road_topology_neighbor_fill,results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data\r10_mcar_s42_m_rtn,rate_0p10__mechanism_mcar_point__scope_global__seed_42__method_road_topology_neighbor_fill,r10_mcar_s42_m_rtn,directory,imputation_data,global_mcar_point,g_mcar_pt,true,move,planned,target_root shortened to rdm_exp; scenario or method artifact directory shortened
results\real_data_missingness_experiments\scenarios\global_mcar_point\imputation\imputed_datasets\rate_0p10__mechanism_mcar_point__scope_global__seed_42__method_topology_function_hybrid,results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data\r10_mcar_s42_m_tfh,rate_0p10__mechanism_mcar_point__scope_global__seed_42__method_topology_function_hybrid,r10_mcar_s42_m_tfh,directory,imputation_data,global_mcar_point,g_mcar_pt,true,move,planned,target_root shortened to rdm_exp; scenario or method artifact directory shortened
results\real_data_missingness_experiments\scenarios\global_mcar_point\imputation\imputed_datasets\rate_0p10__mechanism_mcar_point__scope_global__seed_42__method_zero_fill,results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data\r10_mcar_s42_m_zf,rate_0p10__mechanism_mcar_point__scope_global__seed_42__method_zero_fill,r10_mcar_s42_m_zf,directory,imputation_data,global_mcar_point,g_mcar_pt,true,move,planned,target_root shortened to rdm_exp; scenario or method artifact directory shortened
results\real_data_missingness_experiments\scenarios\global_mcar_point\imputation\imputed_datasets\rate_0p20__mechanism_mcar_point__scope_global__seed_42__method_forward_fill,results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data\r20_mcar_s42_m_ff,rate_0p20__mechanism_mcar_point__scope_global__seed_42__method_forward_fill,r20_mcar_s42_m_ff,directory,imputation_data,global_mcar_point,g_mcar_pt,true,move,planned,target_root shortened to rdm_exp; scenario or method artifact directory shortened
results\real_data_missingness_experiments\scenarios\global_mcar_point\imputation\imputed_datasets\rate_0p20__mechanism_mcar_point__scope_global__seed_42__method_function_curve_fit,results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data\r20_mcar_s42_m_fcf,rate_0p20__mechanism_mcar_point__scope_global__seed_42__method_function_curve_fit,r20_mcar_s42_m_fcf,directory,imputation_data,global_mcar_point,g_mcar_pt,true,move,planned,target_root shortened to rdm_exp; scenario or method artifact directory shortened
results\real_data_missingness_experiments\scenarios\global_mcar_point\imputation\imputed_datasets\rate_0p20__mechanism_mcar_point__scope_global__seed_42__method_historical_linear_extrapolation,results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data\r20_mcar_s42_m_hle,rate_0p20__mechanism_mcar_point__scope_global__seed_42__method_historical_linear_extrapolation,r20_mcar_s42_m_hle,directory,imputation_data,global_mcar_point,g_mcar_pt,true,move,planned,target_root shortened to rdm_exp; scenario or method artifact directory shortened
results\real_data_missingness_experiments\scenarios\global_mcar_point\imputation\imputed_datasets\rate_0p20__mechanism_mcar_point__scope_global__seed_42__method_road_topology_neighbor_fill,results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data\r20_mcar_s42_m_rtn,rate_0p20__mechanism_mcar_point__scope_global__seed_42__method_road_topology_neighbor_fill,r20_mcar_s42_m_rtn,directory,imputation_data,global_mcar_point,g_mcar_pt,true,move,planned,target_root shortened to rdm_exp; scenario or method artifact directory shortened
results\real_data_missingness_experiments\scenarios\global_mcar_point\imputation\imputed_datasets\rate_0p20__mechanism_mcar_point__scope_global__seed_42__method_topology_function_hybrid,results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data\r20_mcar_s42_m_tfh,rate_0p20__mechanism_mcar_point__scope_global__seed_42__method_topology_function_hybrid,r20_mcar_s42_m_tfh,directory,imputation_data,global_mcar_point,g_mcar_pt,true,move,planned,target_root shortened to rdm_exp; scenario or method artifact directory shortened
results\real_data_missingness_experiments\scenarios\global_mcar_point\imputation\imputed_datasets\rate_0p20__mechanism_mcar_point__scope_global__seed_42__method_zero_fill,results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data\r20_mcar_s42_m_zf,rate_0p20__mechanism_mcar_point__scope_global__seed_42__method_zero_fill,r20_mcar_s42_m_zf,directory,imputation_data,global_mcar_point,g_mcar_pt,true,move,planned,target_root shortened to rdm_exp; scenario or method artifact directory shortened
results\real_data_missingness_experiments\scenarios\global_mcar_point\imputation\imputed_datasets\rate_0p30__mechanism_mcar_point__scope_global__seed_42__method_forward_fill,results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data\r30_mcar_s42_m_ff,rate_0p30__mechanism_mcar_point__scope_global__seed_42__method_forward_fill,r30_mcar_s42_m_ff,directory,imputation_data,global_mcar_point,g_mcar_pt,true,move,planned,target_root shortened to rdm_exp; scenario or method artifact directory shortened
results\real_data_missingness_experiments\scenarios\global_mcar_point\imputation\imputed_datasets\rate_0p30__mechanism_mcar_point__scope_global__seed_42__method_function_curve_fit,results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data\r30_mcar_s42_m_fcf,rate_0p30__mechanism_mcar_point__scope_global__seed_42__method_function_curve_fit,r30_mcar_s42_m_fcf,directory,imputation_data,global_mcar_point,g_mcar_pt,true,move,planned,target_root shortened to rdm_exp; scenario or method artifact directory shortened
results\real_data_missingness_experiments\scenarios\global_mcar_point\imputation\imputed_datasets\rate_0p30__mechanism_mcar_point__scope_global__seed_42__method_historical_linear_extrapolation,results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data\r30_mcar_s42_m_hle,rate_0p30__mechanism_mcar_point__scope_global__seed_42__method_historical_linear_extrapolation,r30_mcar_s42_m_hle,directory,imputation_data,global_mcar_point,g_mcar_pt,true,move,planned,target_root shortened to rdm_exp; scenario or method artifact directory shortened
results\real_data_missingness_experiments\scenarios\global_mcar_point\imputation\imputed_datasets\rate_0p30__mechanism_mcar_point__scope_global__seed_42__method_road_topology_neighbor_fill,results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data\r30_mcar_s42_m_rtn,rate_0p30__mechanism_mcar_point__scope_global__seed_42__method_road_topology_neighbor_fill,r30_mcar_s42_m_rtn,directory,imputation_data,global_mcar_point,g_mcar_pt,true,move,planned,target_root shortened to rdm_exp; scenario or method artifact directory shortened
results\real_data_missingness_experiments\scenarios\global_mcar_point\imputation\imputed_datasets\rate_0p30__mechanism_mcar_point__scope_global__seed_42__method_topology_function_hybrid,results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data\r30_mcar_s42_m_tfh,rate_0p30__mechanism_mcar_point__scope_global__seed_42__method_topology_function_hybrid,r30_mcar_s42_m_tfh,directory,imputation_data,global_mcar_point,g_mcar_pt,true,move,planned,target_root shortened to rdm_exp; scenario or method artifact directory shortened
results\real_data_missingness_experiments\scenarios\global_mcar_point\imputation\imputed_datasets\rate_0p30__mechanism_mcar_point__scope_global__seed_42__method_zero_fill,results\rdm_exp\scenarios\g_mcar_pt\imp\imp_data\r30_mcar_s42_m_zf,rate_0p30__mechanism_mcar_point__scope_global__seed_42__method_zero_fill,r30_mcar_s42_m_zf,directory,imputation_data,global_mcar_point,g_mcar_pt,true,move,planned,target_root shortened to rdm_exp; scenario or method artifact directory shortened
results\real_data_missingness_experiments\scenarios\global_mcar_point\missingness_setting\masks\rate_0p05__mechanism_mcar_point__scope_global__seed_42,results\rdm_exp\scenarios\g_mcar_pt\miss_set\masks\r05_mcar_s42,rate_0p05__mechanism_mcar_point__scope_global__seed_42,r05_mcar_s42,directory,missingness_data,global_mcar_point,g_mcar_pt,true,move,planned,target_root shortened to rdm_exp; scenario or method artifact directory shortened
results\real_data_missingness_experiments\scenarios\global_mcar_point\missingness_setting\masks\rate_0p10__mechanism_mcar_point__scope_global__seed_42,results\rdm_exp\scenarios\g_mcar_pt\miss_set\masks\r10_mcar_s42,rate_0p10__mechanism_mcar_point__scope_global__seed_42,r10_mcar_s42,directory,missingness_data,global_mcar_point,g_mcar_pt,true,move,planned,target_root shortened to rdm_exp; scenario or method artifact directory shortened
results\real_data_missingness_experiments\scenarios\global_mcar_point\missingness_setting\masks\rate_0p20__mechanism_mcar_point__scope_global__seed_42,results\rdm_exp\scenarios\g_mcar_pt\miss_set\masks\r20_mcar_s42,rate_0p20__mechanism_mcar_point__scope_global__seed_42,r20_mcar_s42,directory,missingness_data,global_mcar_point,g_mcar_pt,true,move,planned,target_root shortened to rdm_exp; scenario or method artifact directory shortened
results\real_data_missingness_experiments\scenarios\global_mcar_point\missingness_setting\masks\rate_0p30__mechanism_mcar_point__scope_global__seed_42,results\rdm_exp\scenarios\g_mcar_pt\miss_set\masks\r30_mcar_s42,rate_0p30__mechanism_mcar_point__scope_global__seed_42,r30_mcar_s42,directory,missingness_data,global_mcar_point,g_mcar_pt,true,move,planned,target_root shortened to rdm_exp; scenario or method artifact directory shortened
results\real_data_missingness_experiments\scenarios\global_mcar_point\missingness_setting\missing_datasets\rate_0p05__mechanism_mcar_point__scope_global__seed_42,results\rdm_exp\scenarios\g_mcar_pt\miss_set\miss_data\r05_mcar_s42,rate_0p05__mechanism_mcar_point__scope_global__seed_42,r05_mcar_s42,directory,missingness_data,global_mcar_point,g_mcar_pt,true,move,planned,target_root shortened to rdm_exp; scenario or method artifact directory shortened
results\real_data_missingness_experiments\scenarios\global_mcar_point\missingness_setting\missing_datasets\rate_0p10__mechanism_mcar_point__scope_global__seed_42,results\rdm_exp\scenarios\g_mcar_pt\miss_set\miss_data\r10_mcar_s42,rate_0p10__mechanism_mcar_point__scope_global__seed_42,r10_mcar_s42,directory,missingness_data,global_mcar_point,g_mcar_pt,true,move,planned,target_root shortened to rdm_exp; scenario or method artifact directory shortened
results\real_data_missingness_experiments\scenarios\global_mcar_point\missingness_setting\missing_datasets\rate_0p20__mechanism_mcar_point__scope_global__seed_42,results\rdm_exp\scenarios\g_mcar_pt\miss_set\miss_data\r20_mcar_s42,rate_0p20__mechanism_mcar_point__scope_global__seed_42,r20_mcar_s42,directory,missingness_data,global_mcar_point,g_mcar_pt,true,move,planned,target_root shortened to rdm_exp; scenario or method artifact directory shortened
results\real_data_missingness_experiments\scenarios\global_mcar_point\missingness_setting\missing_datasets\rate_0p30__mechanism_mcar_point__scope_global__seed_42,results\rdm_exp\scenarios\g_mcar_pt\miss_set\miss_data\r30_mcar_s42,rate_0p30__mechanism_mcar_point__scope_global__seed_42,r30_mcar_s42,directory,missingness_data,global_mcar_point,g_mcar_pt,true,move,planned,target_root shortened to rdm_exp; scenario or method artifact directory shortened
results\real_data_missingness_experiments\scenarios\node_subset_temporal_outage_mixed_short_mid_long\imputation\imputed_datasets\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42__method_forward_fill,results\rdm_exp\scenarios\nso_mix\imp\imp_data\nso_r05_mix_s42_m_ff,mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42__method_forward_fill,nso_r05_mix_s42_m_ff,directory,imputation_data,node_subset_temporal_outage_mixed_short_mid_long,nso_mix,true,move,planned,target_root shortened to rdm_exp; scenario or method artifact directory shortened
