figure_file,figure_type,scenario_scope,metric,method_scope,rate_scope,is_formal_main_figure,notes
figures\nso_mix_length_group_rmse_by_method.png,length_group_plot,nso_mix,RMSE,six_methods,all_rates,False,Four-panel figure faceted by missing rate with x-axis as length group.
figures\nso_mix_length_group_mae_by_method.png,length_group_plot,nso_mix,MAE,six_methods,all_rates,False,Four-panel figure faceted by missing rate with x-axis as length group.
figures\nso_mix_length_group_smape_by_method.png,length_group_plot,nso_mix,SMAPE,six_methods,all_rates,False,Four-panel figure faceted by missing rate with x-axis as length group.
figures\scenario_comparison_rmse_overall.png,scenario_comparison,all_scenarios,RMSE,six_methods,all_rates,True,Cross-scenario comparison faceted by missing rate.
figures\scenario_comparison_mae_overall.png,scenario_comparison,all_scenarios,MAE,six_methods,all_rates,True,Cross-scenario comparison faceted by missing rate.
figures\scenario_comparison_smape_overall.png,scenario_comparison,all_scenarios,SMAPE,six_methods,all_rates,True,Cross-scenario comparison faceted by missing rate.
figures\scenario_comparison_nrmse_overall.png,scenario_comparison,all_scenarios,NRMSE,six_methods,all_rates,True,Cross-scenario comparison faceted by missing rate.
figures\rank_heatmap_g_mcar_pt_rmse.png,rank_heatmap,g_mcar_pt,RMSE,six_methods,all_rates,False,Auxiliary ranking heatmap.
figures\rank_heatmap_ntb_mix_rmse.png,rank_heatmap,ntb_mix,RMSE,six_methods,all_rates,False,Auxiliary ranking heatmap.
figures\rank_heatmap_nso_mix_rmse.png,rank_heatmap,nso_mix,RMSE,six_methods,all_rates,False,Auxiliary ranking heatmap.
figures\rank_heatmap_scenario_method_rmse.png,rank_heatmap,all_scenarios,RMSE,six_methods,all_rates,False,Auxiliary cross-scenario ranking heatmap.
