scenario,time_slot_within_day,missing_count,missing_ratio_within_scenario
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,61,128300,0.010425235016731161
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,62,128203,0.010417353116523656
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,63,128207,0.010417678143336337
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,64,128219,0.01041865322377438
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,65,128523,0.010443355261538107
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,66,128316,0.010426535123981884
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,67,128508,0.010442136410990554
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,68,128583,0.010448230663728316
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,69,128633,0.010452293498886824
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,70,128780,0.010464238234252837
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,71,128707,0.010458306494921415
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,72,128625,0.010451643445261463
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,73,128505,0.010441892640881044
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,74,128274,0.010423122342448738
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,75,128250,0.010421172181572654
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,76,128339,0.010428404028154798
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,77,127996,0.010400532978967434
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,78,128239,0.010420278357837782
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,79,127931,0.010395251293261373
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,80,127550,0.010364292489353544
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,81,127766,0.010381843937238297
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,82,127999,0.010400776749076943
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,83,128303,0.010425478786840673
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,84,128161,0.01041394033499051
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,85,128204,0.010417434373226826
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,86,128059,0.010405652151267153
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,87,127988,0.010399882925342073
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,88,127902,0.01039289484886944
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,89,127934,0.010395495063370884
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,90,127469,0.01035771069639676
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,91,127179,0.010334146252477415
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,92,127452,0.010356329332442868
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,93,127517,0.010361611018148928
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,94,127410,0.01035291655090972
mechanism_node_temporal_block__rate_0p05__mixed_short_mid_long__seed_42,95,127343,0.01034747235179732
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,0,253073,0.01028193882069059
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,1,253241,0.010288764383756883
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,2,253810,0.010311881915808792
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,3,254349,0.01033378059731315
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,4,254707,0.010348325547180608
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,5,255040,0.01036185478825844
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,6,254848,0.010354054144754104
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,7,255396,0.010376318481422727
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,8,255235,0.010369777316817529
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,9,255216,0.010369005378137413
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,10,255500,0.010380543829987574
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,11,255148,0.010366242650229627
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,12,255421,0.010377334190212353
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,13,255669,0.010387410021405453
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,14,255673,0.010387572534811793
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,15,256133,0.01040626157654093
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,16,256475,0.010420156472783026
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,17,256591,0.010424869361566896
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,18,256859,0.010435757759791697
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,19,256961,0.010439901851653374
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,20,257429,0.010458915920195192
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,21,257710,0.0104703324869906
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,22,257907,0.010478336272252859
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,23,257280,0.010452862295809015
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,24,257420,0.010458550265030927
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,25,257150,0.010447580610102954
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,26,256646,0.010427103920904075
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,27,256372,0.010415971752569763
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,28,256505,0.01042137532333058
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,29,256738,0.010430841729249902
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,30,256517,0.0104218628635496
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,31,255999,0.010400817377428529
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,32,255984,0.010400207952154752
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,33,255982,0.010400126695451583
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,34,256293,0.010412762112794542
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,35,256169,0.010407724197197992
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,36,255929,0.010397973392817573
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,37,256157,0.010407236656978971
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,38,256435,0.010418531338719624
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,39,256757,0.01043161366793002
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,40,257005,0.010441689499123118
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,41,257048,0.010443436518241277
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,42,256945,0.010439251798028014
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,43,257239,0.010451196533394026
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,44,256864,0.010435960901549622
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,45,256726,0.01043035418903088
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,46,256878,0.010436529698471813
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,47,256738,0.010430841729249902
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,48,256800,0.010433360687048178
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,49,256924,0.010438398602644727
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,50,257086,0.01044498039560151
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,51,257311,0.010454121774708152
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,52,257248,0.010451562188558292
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,53,257496,0.010461638019751392
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,54,257385,0.010457128272725448
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,55,257290,0.010453268579324866
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,56,257260,0.010452049728777313
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,57,256990,0.010441080073849342
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,58,256881,0.010436651583526569
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,59,256634,0.010426616380685054
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,60,256490,0.010420765898056803
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,61,256708,0.01042962287870235
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,62,256804,0.010433523200454518
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,63,256797,0.010433238801993422
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,64,256801,0.010433401315399762
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,65,256735,0.010430719844195148
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,66,257032,0.010442786464615916
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,67,257192,0.010449287000869528
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,68,257257,0.010451927843722559
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,69,257111,0.010445996104391137
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,70,257277,0.010452740410754259
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,71,257144,0.010447336839993444
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,72,257344,0.01045546251031046
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,73,257155,0.01044778375186088
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,74,257187,0.010449083859111603
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,75,257535,0.01046322252546321
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,76,257660,0.010468301069411344
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,77,257701,0.010469966831826332
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,78,257679,0.01046907300809146
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,79,257544,0.010463588180627476
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,80,257649,0.010467854157543909
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,81,257344,0.01045546251031046
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,82,256856,0.010435635874736941
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,83,256630,0.010426453867278715
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,84,256563,0.010423731767722514
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,85,256418,0.010417840656742677
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,86,256042,0.010402564396546687
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,87,255419,0.010377252933509183
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,88,255626,0.010385663002287295
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,89,255653,0.010386759967780093
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,90,255367,0.01037514025922676
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,91,255120,0.010365105056385245
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,92,254693,0.010347756750258416
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,93,254161,0.010326142467215155
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,94,253743,0.010309159816252592
mechanism_node_temporal_block__rate_0p10__mixed_short_mid_long__seed_42,95,253445,0.010297052567480239
